Provincia,Total,Mbps (Media de bajada),Población,% Cobertura
Buenos Aires,4794665,111.0,17761554,26.99
Capital Federal,1551926,182.86,3638134,42.66
Catamarca,70909,83.33,434055,16.34
Chaco,143663,104.02,1305675,11.0
Chubut,168759,15.92,628259,26.86
Corrientes,155453,94.72,1188638,13.08
Córdoba,1049660,108.77,3860613,27.19
Entre Ríos,270974,87.47,1426323,19.0
Formosa,61840,72.03,633866,9.76
Jujuy,118218,39.32,747558,15.81
La Pampa,114164,19.1,377613,30.23
La Rioja,86262,61.0,397349,21.71
Mendoza,292104,38.76,1964807,14.87
Misiones,186269,91.24,1349291,13.8
Neuquén,160180,95.37,744592,21.51
Río Negro,162092,75.31,797643,20.32
Salta,205860,75.93,1428827,14.41
San Juan,103826,16.39,809060,12.83
San Luis,135220,30.67,536186,25.22
Santa Cruz,50203,14.33,359753,13.95
Santa Fe,887691,90.3,3554047,24.98
Santiago Del Estero,119494,34.4,1067889,11.19
Tierra Del Fuego,55260,13.48,191365,28.88
Tucumán,263422,88.33,1694238,15.55
